Fecha,Blue,Oficial
2002-03-04,2.12,2.01
2002-03-05,2.12,1.99
2002-03-06,2.14,2.05
2002-03-07,2.22,2.14
2002-03-08,2.27,2.2
2002-03-11,2.32,2.25
2002-03-12,2.43,2.37
2002-03-13,2.42,2.33
2002-03-14,2.46,2.37
2002-03-15,2.45,2.34
2002-03-18,2.44,2.32
2002-03-19,2.46,2.38
2002-03-20,2.54,2.43
2002-03-21,2.55,2.39
2002-03-22,3.1,2.57
2002-03-25,3.6,3.21
2002-03-26,3.1,2.99
2002-03-27,3.05,2.85
2002-04-02,2.93,2.89
2002-04-03,2.97,2.9
2002-04-04,2.84,2.8
2002-04-05,2.82,2.67
2002-04-08,2.79,2.7
2002-04-09,2.8,2.75
2002-04-10,2.8,2.77
2002-04-11,2.84,2.79
2002-04-12,2.98,2.86
2002-04-15,2.95,2.92
2002-04-16,2.82,2.85
2002-04-17,2.89,2.81
2002-04-18,3.15,2.91
2002-04-19,3.21,3.12
2002-04-29,2.95,3.02
2002-04-30,3.03,2.92
2002-05-02,3.15,3.04
2002-05-03,3.2,3.16
2002-05-06,3.21,3.16
2002-05-07,3.23,3.17
2002-05-08,3.25,3.19
2002-05-09,3.22,3.18
2002-05-10,3.31,3.18
2002-05-13,3.3,3.27
2002-05-14,3.3,3.26
2002-05-15,3.27,3.23
2002-05-16,3.28,3.22
2002-05-17,3.42,3.33
2002-05-20,3.57,3.52
2002-05-21,3.5,3.49
2002-05-22,3.52,3.42
2002-05-23,3.49,3.39
2002-05-24,3.57,3.43
2002-05-27,3.54,3.45
2002-05-28,3.54,3.45
2002-05-29,3.62,3.54
2002-05-30,3.65,3.59
2002-05-31,3.62,3.58
2002-06-03,3.65,3.59
2002-06-04,3.66,3.61
2002-06-05,3.67,3.63
2002-06-06,3.7,3.64
2002-06-07,3.71,3.63
2002-06-10,3.55,3.53
2002-06-11,3.54,3.46
2002-06-12,3.53,3.45
2002-06-13,3.55,3.47
2002-06-14,3.62,3.5
2002-06-18,3.58,3.51
2002-06-19,3.64,3.54
2002-06-20,3.67,3.58
2002-06-21,3.75,3.64
2002-06-24,3.83,3.71
2002-06-25,3.93,3.85
2002-06-26,3.91,3.87
2002-06-27,3.87,3.81
2002-06-28,3.92,3.8
2002-07-01,3.83,3.79
2002-07-02,3.7,3.69
2002-07-03,3.64,3.58
2002-07-04,3.6,3.56
2002-07-05,3.64,3.57
2002-07-08,3.59,3.53
2002-07-10,3.59,3.53
2002-07-11,3.62,3.56
2002-07-12,3.63,3.59
2002-07-15,3.63,3.59
2002-07-16,3.6,3.59
2002-07-17,3.58,3.5
2002-07-18,3.61,3.54
